len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_penmt1,diff_penmt1,absdiff_penmt1,nabsdiff_penmt1,        len_penmt2,diff_penmt2,absdiff_penmt2,nabsdiff_penmt2,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_pesmt3,diff_pesmt3,absdiff_pesmt3,nabsdiff_pesmt3,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_smt3,diff_smt3,absdiff_smt3,nabsdiff_smt3        
27,38,11,11,0.4074074074074074,39,12,12,0.4444444444444444,39,12,12,0.4444444444444444,39,12,12,0.4444444444444444,26,-1,1,0.037037037037037035,39,12,12,0.4444444444444444,39,12,12,0.4444444444444444,39,12,12,0.4444444444444444,36,9,9,0.3333333333333333,25,-2,2,0.07407407407407407,37,10,10,0.37037037037037035
258,283,25,25,0.09689922480620156,272,14,14,0.05426356589147287,269,11,11,0.04263565891472868,274,16,16,0.06201550387596899,266,8,8,0.031007751937984496,281,23,23,0.08914728682170543,258,0,0,0.0,252,-6,6,0.023255813953488372,287,29,29,0.1124031007751938,300,42,42,0.16279069767441862,270,12,12,0.046511627906976744
129,124,-5,5,0.03875968992248062,137,8,8,0.06201550387596899,149,20,20,0.15503875968992248,149,20,20,0.15503875968992248,149,20,20,0.15503875968992248,131,2,2,0.015503875968992248,137,8,8,0.06201550387596899,135,6,6,0.046511627906976744,129,0,0,0.0,139,10,10,0.07751937984496124,119,-10,10,0.07751937984496124
335,379,44,44,0.13134328358208955,387,52,52,0.15522388059701492,370,35,35,0.1044776119402985,396,61,61,0.18208955223880596,395,60,60,0.1791044776119403,384,49,49,0.14626865671641792,381,46,46,0.1373134328358209,360,25,25,0.07462686567164178,401,66,66,0.19701492537313434,398,63,63,0.1880597014925373,345,10,10,0.029850746268656716
130,154,24,24,0.18461538461538463,149,19,19,0.14615384615384616,142,12,12,0.09230769230769231,147,17,17,0.13076923076923078,166,36,36,0.27692307692307694,157,27,27,0.2076923076923077,149,19,19,0.14615384615384616,145,15,15,0.11538461538461539,138,8,8,0.06153846153846154,160,30,30,0.23076923076923078,152,22,22,0.16923076923076924
23,17,-6,6,0.2608695652173913,24,1,1,0.043478260869565216,24,1,1,0.043478260869565216,24,1,1,0.043478260869565216,24,1,1,0.043478260869565216,24,1,1,0.043478260869565216,24,1,1,0.043478260869565216,24,1,1,0.043478260869565216,24,1,1,0.043478260869565216,24,1,1,0.043478260869565216,24,1,1,0.043478260869565216
44,54,10,10,0.22727272727272727,40,-4,4,0.09090909090909091,40,-4,4,0.09090909090909091,53,9,9,0.20454545454545456,43,-1,1,0.022727272727272728,37,-7,7,0.1590909090909091,40,-4,4,0.09090909090909091,40,-4,4,0.09090909090909091,53,9,9,0.20454545454545456,49,5,5,0.11363636363636363,45,1,1,0.022727272727272728
301,357,56,56,0.18604651162790697,392,91,91,0.3023255813953488,370,69,69,0.2292358803986711,390,89,89,0.2956810631229236,410,109,109,0.36212624584717606,334,33,33,0.10963455149501661,374,73,73,0.2425249169435216,369,68,68,0.22591362126245848,350,49,49,0.16279069767441862,389,88,88,0.292358803986711,352,51,51,0.16943521594684385
40,41,1,1,0.025,43,3,3,0.075,39,-1,1,0.025,43,3,3,0.075,47,7,7,0.175,39,-1,1,0.025,43,3,3,0.075,39,-1,1,0.025,43,3,3,0.075,43,3,3,0.075,39,-1,1,0.025
349,358,9,9,0.025787965616045846,415,66,66,0.18911174785100288,404,55,55,0.15759312320916904,385,36,36,0.10315186246418338,374,25,25,0.07163323782234957,386,37,37,0.10601719197707736,395,46,46,0.1318051575931232,371,22,22,0.06303724928366762,396,47,47,0.1346704871060172,392,43,43,0.12320916905444126,373,24,24,0.06876790830945559
