len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pemt,diff_pemt,absdiff_pemt,nabsdiff_pemt,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2        
31,59,28,28,0.9032258064516129,54,23,23,0.7419354838709677,48,17,17,0.5483870967741935,60,29,29,0.9354838709677419
50,203,153,153,3.06,156,106,106,2.12,159,109,109,2.18,145,95,95,1.9
57,153,96,96,1.6842105263157894,135,78,78,1.368421052631579,153,96,96,1.6842105263157894,154,97,97,1.7017543859649122
51,141,90,90,1.7647058823529411,127,76,76,1.4901960784313726,149,98,98,1.9215686274509804,141,90,90,1.7647058823529411
63,167,104,104,1.6507936507936507,196,133,133,2.111111111111111,188,125,125,1.9841269841269842,172,109,109,1.7301587301587302
77,300,223,223,2.896103896103896,212,135,135,1.7532467532467533,268,191,191,2.4805194805194803,250,173,173,2.2467532467532467
79,211,132,132,1.6708860759493671,190,111,111,1.4050632911392404,163,84,84,1.0632911392405062,158,79,79,1.0
61,160,99,99,1.6229508196721312,164,103,103,1.6885245901639345,152,91,91,1.4918032786885247,145,84,84,1.3770491803278688
37,80,43,43,1.162162162162162,51,14,14,0.3783783783783784,80,43,43,1.162162162162162,85,48,48,1.2972972972972974
91,221,130,130,1.4285714285714286,233,142,142,1.5604395604395604,242,151,151,1.6593406593406594,196,105,105,1.1538461538461537
97,279,182,182,1.8762886597938144,272,175,175,1.8041237113402062,211,114,114,1.175257731958763,215,118,118,1.2164948453608246
44,88,44,44,1.0,103,59,59,1.3409090909090908,96,52,52,1.1818181818181819,109,65,65,1.4772727272727273
77,152,75,75,0.974025974025974,172,95,95,1.2337662337662338,172,95,95,1.2337662337662338,165,88,88,1.1428571428571428
88,205,117,117,1.3295454545454546,211,123,123,1.3977272727272727,203,115,115,1.3068181818181819,199,111,111,1.2613636363636365
89,239,150,150,1.6853932584269662,271,182,182,2.044943820224719,231,142,142,1.595505617977528,205,116,116,1.303370786516854
64,195,131,131,2.046875,165,101,101,1.578125,179,115,115,1.796875,163,99,99,1.546875
83,285,202,202,2.433734939759036,252,169,169,2.036144578313253,208,125,125,1.5060240963855422,202,119,119,1.4337349397590362
77,190,113,113,1.4675324675324675,179,102,102,1.3246753246753247,187,110,110,1.4285714285714286,176,99,99,1.2857142857142858
