len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pemt,diff_pemt,absdiff_pemt,nabsdiff_pemt,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2        
26,50,24,24,0.9230769230769231,65,39,39,1.5,60,34,34,1.3076923076923077,64,38,38,1.4615384615384615
55,113,58,58,1.0545454545454545,117,62,62,1.1272727272727272,122,67,67,1.2181818181818183,113,58,58,1.0545454545454545
59,158,99,99,1.6779661016949152,144,85,85,1.4406779661016949,133,74,74,1.2542372881355932,129,70,70,1.1864406779661016
75,212,137,137,1.8266666666666667,182,107,107,1.4266666666666667,179,104,104,1.3866666666666667,150,75,75,1.0
44,98,54,54,1.2272727272727273,90,46,46,1.0454545454545454,99,55,55,1.25,108,64,64,1.4545454545454546
142,251,109,109,0.7676056338028169,225,83,83,0.5845070422535211,247,105,105,0.7394366197183099,216,74,74,0.5211267605633803
65,107,42,42,0.6461538461538462,99,34,34,0.5230769230769231,95,30,30,0.46153846153846156,95,30,30,0.46153846153846156
67,70,3,3,0.04477611940298507,112,45,45,0.6716417910447762,119,52,52,0.7761194029850746,94,27,27,0.40298507462686567
56,104,48,48,0.8571428571428571,89,33,33,0.5892857142857143,94,38,38,0.6785714285714286,98,42,42,0.75
60,111,51,51,0.85,110,50,50,0.8333333333333334,109,49,49,0.8166666666666667,122,62,62,1.0333333333333334
63,80,17,17,0.2698412698412698,71,8,8,0.12698412698412698,90,27,27,0.42857142857142855,86,23,23,0.36507936507936506
47,93,46,46,0.9787234042553191,84,37,37,0.7872340425531915,82,35,35,0.7446808510638298,78,31,31,0.6595744680851063
28,32,4,4,0.14285714285714285,40,12,12,0.42857142857142855,39,11,11,0.39285714285714285,38,10,10,0.35714285714285715
43,62,19,19,0.4418604651162791,63,20,20,0.46511627906976744,62,19,19,0.4418604651162791,59,16,16,0.37209302325581395
17,45,28,28,1.6470588235294117,43,26,26,1.5294117647058822,48,31,31,1.8235294117647058,42,25,25,1.4705882352941178
22,50,28,28,1.2727272727272727,35,13,13,0.5909090909090909,34,12,12,0.5454545454545454,23,1,1,0.045454545454545456
86,148,62,62,0.7209302325581395,178,92,92,1.069767441860465,121,35,35,0.4069767441860465,101,15,15,0.1744186046511628
41,81,40,40,0.975609756097561,100,59,59,1.4390243902439024,88,47,47,1.146341463414634,79,38,38,0.926829268292683
23,53,30,30,1.3043478260869565,51,28,28,1.2173913043478262,54,31,31,1.3478260869565217,50,27,27,1.173913043478261
45,135,90,90,2.0,136,91,91,2.022222222222222,133,88,88,1.9555555555555555,115,70,70,1.5555555555555556
58,162,104,104,1.793103448275862,135,77,77,1.3275862068965518,151,93,93,1.603448275862069,155,97,97,1.6724137931034482
36,112,76,76,2.111111111111111,97,61,61,1.6944444444444444,91,55,55,1.5277777777777777,99,63,63,1.75
49,142,93,93,1.8979591836734695,138,89,89,1.816326530612245,114,65,65,1.3265306122448979,116,67,67,1.3673469387755102
31,63,32,32,1.032258064516129,70,39,39,1.2580645161290323,87,56,56,1.8064516129032258,82,51,51,1.6451612903225807
102,270,168,168,1.6470588235294117,220,118,118,1.1568627450980393,192,90,90,0.8823529411764706,193,91,91,0.8921568627450981
82,211,129,129,1.5731707317073171,212,130,130,1.5853658536585367,207,125,125,1.524390243902439,209,127,127,1.548780487804878
106,247,141,141,1.330188679245283,272,166,166,1.5660377358490567,275,169,169,1.5943396226415094,308,202,202,1.9056603773584906
67,178,111,111,1.6567164179104477,140,73,73,1.0895522388059702,126,59,59,0.8805970149253731,184,117,117,1.7462686567164178
81,182,101,101,1.2469135802469136,178,97,97,1.1975308641975309,193,112,112,1.382716049382716,183,102,102,1.2592592592592593
86,188,102,102,1.186046511627907,153,67,67,0.7790697674418605,182,96,96,1.1162790697674418,174,88,88,1.0232558139534884
