len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_perbmt1,diff_perbmt1,absdiff_perbmt1,nabsdiff_perbmt1,        len_perbmt2,diff_perbmt2,absdiff_perbmt2,nabsdiff_perbmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_rbmt1,diff_rbmt1,absdiff_rbmt1,nabsdiff_rbmt1,        len_rbmt2,diff_rbmt2,absdiff_rbmt2,nabsdiff_rbmt2        
237,174,-63,63,0.26582278481012656,222,-15,15,0.06329113924050633,226,-11,11,0.046413502109704644,250,13,13,0.05485232067510549,246,9,9,0.0379746835443038,235,-2,2,0.008438818565400843,237,0,0,0.0,251,14,14,0.05907172995780591,247,10,10,0.04219409282700422
257,227,-30,30,0.11673151750972763,237,-20,20,0.07782101167315175,232,-25,25,0.09727626459143969,258,1,1,0.0038910505836575876,239,-18,18,0.07003891050583658,241,-16,16,0.0622568093385214,245,-12,12,0.04669260700389105,240,-17,17,0.06614785992217899,255,-2,2,0.007782101167315175
210,193,-17,17,0.08095238095238096,181,-29,29,0.1380952380952381,182,-28,28,0.13333333333333333,198,-12,12,0.05714285714285714,194,-16,16,0.0761904761904762,177,-33,33,0.15714285714285714,170,-40,40,0.19047619047619047,200,-10,10,0.047619047619047616,190,-20,20,0.09523809523809523
117,101,-16,16,0.13675213675213677,109,-8,8,0.06837606837606838,93,-24,24,0.20512820512820512,116,-1,1,0.008547008547008548,106,-11,11,0.09401709401709402,100,-17,17,0.1452991452991453,89,-28,28,0.23931623931623933,118,1,1,0.008547008547008548,100,-17,17,0.1452991452991453
30,22,-8,8,0.26666666666666666,26,-4,4,0.13333333333333333,28,-2,2,0.06666666666666667,28,-2,2,0.06666666666666667,31,1,1,0.03333333333333333,26,-4,4,0.13333333333333333,21,-9,9,0.3,26,-4,4,0.13333333333333333,29,-1,1,0.03333333333333333
23,22,-1,1,0.043478260869565216,18,-5,5,0.21739130434782608,18,-5,5,0.21739130434782608,18,-5,5,0.21739130434782608,22,-1,1,0.043478260869565216,22,-1,1,0.043478260869565216,22,-1,1,0.043478260869565216,22,-1,1,0.043478260869565216,26,3,3,0.13043478260869565
18,26,8,8,0.4444444444444444,9,-9,9,0.5,9,-9,9,0.5,9,-9,9,0.5,13,-5,5,0.2777777777777778,13,-5,5,0.2777777777777778,13,-5,5,0.2777777777777778,21,3,3,0.16666666666666666,13,-5,5,0.2777777777777778
150,140,-10,10,0.06666666666666667,144,-6,6,0.04,147,-3,3,0.02,141,-9,9,0.06,150,0,0,0.0,159,9,9,0.06,143,-7,7,0.04666666666666667,155,5,5,0.03333333333333333,154,4,4,0.02666666666666667
95,93,-2,2,0.021052631578947368,80,-15,15,0.15789473684210525,85,-10,10,0.10526315789473684,90,-5,5,0.05263157894736842,93,-2,2,0.021052631578947368,80,-15,15,0.15789473684210525,79,-16,16,0.16842105263157894,88,-7,7,0.07368421052631578,93,-2,2,0.021052631578947368
130,87,-43,43,0.33076923076923076,91,-39,39,0.3,101,-29,29,0.2230769230769231,92,-38,38,0.2923076923076923,101,-29,29,0.2230769230769231,84,-46,46,0.35384615384615387,90,-40,40,0.3076923076923077,88,-42,42,0.3230769230769231,105,-25,25,0.19230769230769232
154,137,-17,17,0.11038961038961038,150,-4,4,0.025974025974025976,149,-5,5,0.032467532467532464,152,-2,2,0.012987012987012988,139,-15,15,0.09740259740259741,148,-6,6,0.03896103896103896,144,-10,10,0.06493506493506493,153,-1,1,0.006493506493506494,143,-11,11,0.07142857142857142
131,107,-24,24,0.183206106870229,131,0,0,0.0,134,3,3,0.022900763358778626,135,4,4,0.030534351145038167,126,-5,5,0.03816793893129771,113,-18,18,0.13740458015267176,135,4,4,0.030534351145038167,140,9,9,0.06870229007633588,125,-6,6,0.04580152671755725
61,46,-15,15,0.2459016393442623,46,-15,15,0.2459016393442623,44,-17,17,0.2786885245901639,44,-17,17,0.2786885245901639,44,-17,17,0.2786885245901639,46,-15,15,0.2459016393442623,46,-15,15,0.2459016393442623,48,-13,13,0.21311475409836064,48,-13,13,0.21311475409836064
339,249,-90,90,0.26548672566371684,297,-42,42,0.12389380530973451,305,-34,34,0.10029498525073746,293,-46,46,0.13569321533923304,310,-29,29,0.0855457227138643,285,-54,54,0.1592920353982301,274,-65,65,0.19174041297935104,296,-43,43,0.12684365781710916,312,-27,27,0.07964601769911504
86,72,-14,14,0.16279069767441862,84,-2,2,0.023255813953488372,107,21,21,0.2441860465116279,86,0,0,0.0,86,0,0,0.0,80,-6,6,0.06976744186046512,98,12,12,0.13953488372093023,88,2,2,0.023255813953488372,85,-1,1,0.011627906976744186
95,82,-13,13,0.1368421052631579,88,-7,7,0.07368421052631578,89,-6,6,0.06315789473684211,93,-2,2,0.021052631578947368,100,5,5,0.05263157894736842,65,-30,30,0.3157894736842105,76,-19,19,0.2,91,-4,4,0.042105263157894736,86,-9,9,0.09473684210526316
32,29,-3,3,0.09375,30,-2,2,0.0625,22,-10,10,0.3125,35,3,3,0.09375,33,1,1,0.03125,30,-2,2,0.0625,22,-10,10,0.3125,34,2,2,0.0625,30,-2,2,0.0625
162,135,-27,27,0.16666666666666666,143,-19,19,0.11728395061728394,126,-36,36,0.2222222222222222,140,-22,22,0.13580246913580246,155,-7,7,0.043209876543209874,138,-24,24,0.14814814814814814,132,-30,30,0.18518518518518517,157,-5,5,0.030864197530864196,154,-8,8,0.04938271604938271
