len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_perbmt1,diff_perbmt1,absdiff_perbmt1,nabsdiff_perbmt1,        len_perbmt2,diff_perbmt2,absdiff_perbmt2,nabsdiff_perbmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_rbmt1,diff_rbmt1,absdiff_rbmt1,nabsdiff_rbmt1,        len_rbmt2,diff_rbmt2,absdiff_rbmt2,nabsdiff_rbmt2        
237,238,1,1,0.004219409282700422,251,14,14,0.05907172995780591,256,19,19,0.08016877637130802,254,17,17,0.07172995780590717,242,5,5,0.02109704641350211,244,7,7,0.029535864978902954,227,-10,10,0.04219409282700422,255,18,18,0.0759493670886076,229,-8,8,0.03375527426160337
257,249,-8,8,0.0311284046692607,249,-8,8,0.0311284046692607,263,6,6,0.023346303501945526,250,-7,7,0.027237354085603113,255,-2,2,0.007782101167315175,234,-23,23,0.08949416342412451,220,-37,37,0.14396887159533073,244,-13,13,0.05058365758754864,243,-14,14,0.054474708171206226
210,216,6,6,0.02857142857142857,177,-33,33,0.15714285714285714,189,-21,21,0.1,185,-25,25,0.11904761904761904,184,-26,26,0.12380952380952381,178,-32,32,0.1523809523809524,192,-18,18,0.08571428571428572,195,-15,15,0.07142857142857142,194,-16,16,0.0761904761904762
117,108,-9,9,0.07692307692307693,127,10,10,0.08547008547008547,123,6,6,0.05128205128205128,116,-1,1,0.008547008547008548,120,3,3,0.02564102564102564,113,-4,4,0.03418803418803419,123,6,6,0.05128205128205128,138,21,21,0.1794871794871795,129,12,12,0.10256410256410256
30,22,-8,8,0.26666666666666666,20,-10,10,0.3333333333333333,34,4,4,0.13333333333333333,28,-2,2,0.06666666666666667,26,-4,4,0.13333333333333333,20,-10,10,0.3333333333333333,34,4,4,0.13333333333333333,26,-4,4,0.13333333333333333,24,-6,6,0.2
23,26,3,3,0.13043478260869565,22,-1,1,0.043478260869565216,22,-1,1,0.043478260869565216,22,-1,1,0.043478260869565216,26,3,3,0.13043478260869565,26,3,3,0.13043478260869565,26,3,3,0.13043478260869565,26,3,3,0.13043478260869565,24,1,1,0.043478260869565216
130,88,-42,42,0.3230769230769231,114,-16,16,0.12307692307692308,122,-8,8,0.06153846153846154,124,-6,6,0.046153846153846156,124,-6,6,0.046153846153846156,124,-6,6,0.046153846153846156,97,-33,33,0.25384615384615383,128,-2,2,0.015384615384615385,123,-7,7,0.05384615384615385
154,125,-29,29,0.18831168831168832,147,-7,7,0.045454545454545456,147,-7,7,0.045454545454545456,152,-2,2,0.012987012987012988,145,-9,9,0.05844155844155844,147,-7,7,0.045454545454545456,144,-10,10,0.06493506493506493,146,-8,8,0.05194805194805195,158,4,4,0.025974025974025976
131,114,-17,17,0.1297709923664122,129,-2,2,0.015267175572519083,131,0,0,0.0,132,1,1,0.007633587786259542,127,-4,4,0.030534351145038167,120,-11,11,0.08396946564885496,122,-9,9,0.06870229007633588,141,10,10,0.07633587786259542,129,-2,2,0.015267175572519083
61,42,-19,19,0.3114754098360656,60,-1,1,0.01639344262295082,60,-1,1,0.01639344262295082,66,5,5,0.08196721311475409,60,-1,1,0.01639344262295082,43,-18,18,0.29508196721311475,71,10,10,0.16393442622950818,70,9,9,0.14754098360655737,71,10,10,0.16393442622950818
339,270,-69,69,0.20353982300884957,254,-85,85,0.25073746312684364,332,-7,7,0.02064896755162242,332,-7,7,0.02064896755162242,332,-7,7,0.02064896755162242,304,-35,35,0.10324483775811209,283,-56,56,0.16519174041297935,290,-49,49,0.14454277286135694,356,17,17,0.05014749262536873
86,73,-13,13,0.1511627906976744,88,2,2,0.023255813953488372,78,-8,8,0.09302325581395349,80,-6,6,0.06976744186046512,86,0,0,0.0,82,-4,4,0.046511627906976744,75,-11,11,0.12790697674418605,82,-4,4,0.046511627906976744,90,4,4,0.046511627906976744
189,230,41,41,0.21693121693121692,227,38,38,0.20105820105820105,226,37,37,0.19576719576719576,207,18,18,0.09523809523809523,218,29,29,0.15343915343915343,180,-9,9,0.047619047619047616,191,2,2,0.010582010582010581,199,10,10,0.05291005291005291,202,13,13,0.06878306878306878
178,164,-14,14,0.07865168539325842,194,16,16,0.0898876404494382,192,14,14,0.07865168539325842,181,3,3,0.016853932584269662,191,13,13,0.07303370786516854,179,1,1,0.0056179775280898875,182,4,4,0.02247191011235955,172,-6,6,0.033707865168539325,182,4,4,0.02247191011235955
80,68,-12,12,0.15,85,5,5,0.0625,84,4,4,0.05,88,8,8,0.1,84,4,4,0.05,85,5,5,0.0625,79,-1,1,0.0125,94,14,14,0.175,91,11,11,0.1375
147,167,20,20,0.1360544217687075,167,20,20,0.1360544217687075,172,25,25,0.17006802721088435,157,10,10,0.06802721088435375,172,25,25,0.17006802721088435,164,17,17,0.11564625850340136,152,5,5,0.034013605442176874,157,10,10,0.06802721088435375,161,14,14,0.09523809523809523
239,208,-31,31,0.1297071129707113,231,-8,8,0.03347280334728033,239,0,0,0.0,231,-8,8,0.03347280334728033,246,7,7,0.029288702928870293,218,-21,21,0.08786610878661087,219,-20,20,0.08368200836820083,222,-17,17,0.07112970711297072,270,31,31,0.1297071129707113
