len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_perbmt1,diff_perbmt1,absdiff_perbmt1,nabsdiff_perbmt1,        len_perbmt2,diff_perbmt2,absdiff_perbmt2,nabsdiff_perbmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_rbmt1,diff_rbmt1,absdiff_rbmt1,nabsdiff_rbmt1,        len_rbmt2,diff_rbmt2,absdiff_rbmt2,nabsdiff_rbmt2        
174,237,63,63,0.3620689655172414,211,37,37,0.21264367816091953,216,42,42,0.2413793103448276,197,23,23,0.13218390804597702,42,-132,132,0.7586206896551724,180,6,6,0.034482758620689655,142,-32,32,0.1839080459770115,176,2,2,0.011494252873563218,180,6,6,0.034482758620689655
227,257,30,30,0.13215859030837004,258,31,31,0.13656387665198239,221,-6,6,0.02643171806167401,192,-35,35,0.15418502202643172,241,14,14,0.06167400881057269,235,8,8,0.03524229074889868,254,27,27,0.11894273127753303,244,17,17,0.07488986784140969,250,23,23,0.1013215859030837
193,210,17,17,0.08808290155440414,213,20,20,0.10362694300518134,177,-16,16,0.08290155440414508,212,19,19,0.09844559585492228,219,26,26,0.13471502590673576,202,9,9,0.046632124352331605,195,2,2,0.010362694300518135,223,30,30,0.15544041450777202,237,44,44,0.22797927461139897
101,117,16,16,0.15841584158415842,120,19,19,0.18811881188118812,120,19,19,0.18811881188118812,115,14,14,0.13861386138613863,122,21,21,0.2079207920792079,113,12,12,0.1188118811881188,120,19,19,0.18811881188118812,118,17,17,0.16831683168316833,105,4,4,0.039603960396039604
22,30,8,8,0.36363636363636365,29,7,7,0.3181818181818182,25,3,3,0.13636363636363635,26,4,4,0.18181818181818182,25,3,3,0.13636363636363635,21,-1,1,0.045454545454545456,37,15,15,0.6818181818181818,25,3,3,0.13636363636363635,25,3,3,0.13636363636363635
22,23,1,1,0.045454545454545456,19,-3,3,0.13636363636363635,19,-3,3,0.13636363636363635,19,-3,3,0.13636363636363635,23,1,1,0.045454545454545456,23,1,1,0.045454545454545456,23,1,1,0.045454545454545456,23,1,1,0.045454545454545456,23,1,1,0.045454545454545456
26,18,-8,8,0.3076923076923077,28,2,2,0.07692307692307693,28,2,2,0.07692307692307693,28,2,2,0.07692307692307693,32,6,6,0.23076923076923078,32,6,6,0.23076923076923078,32,6,6,0.23076923076923078,29,3,3,0.11538461538461539,29,3,3,0.11538461538461539
140,150,10,10,0.07142857142857142,171,31,31,0.22142857142857142,161,21,21,0.15,155,15,15,0.10714285714285714,145,5,5,0.03571428571428571,173,33,33,0.2357142857142857,157,17,17,0.12142857142857143,149,9,9,0.06428571428571428,138,-2,2,0.014285714285714285
93,95,2,2,0.021505376344086023,105,12,12,0.12903225806451613,93,0,0,0.0,98,5,5,0.053763440860215055,94,1,1,0.010752688172043012,101,8,8,0.08602150537634409,90,-3,3,0.03225806451612903,105,12,12,0.12903225806451613,94,1,1,0.010752688172043012
47,43,-4,4,0.0851063829787234,54,7,7,0.14893617021276595,36,-11,11,0.23404255319148937,46,-1,1,0.02127659574468085,51,4,4,0.0851063829787234,58,11,11,0.23404255319148937,43,-4,4,0.0851063829787234,63,16,16,0.3404255319148936,51,4,4,0.0851063829787234
80,106,26,26,0.325,85,5,5,0.0625,72,-8,8,0.1,84,4,4,0.05,89,9,9,0.1125,89,9,9,0.1125,70,-10,10,0.125,93,13,13,0.1625,92,12,12,0.15
56,46,-10,10,0.17857142857142858,56,0,0,0.0,54,-2,2,0.03571428571428571,54,-2,2,0.03571428571428571,59,3,3,0.05357142857142857,61,5,5,0.08928571428571429,68,12,12,0.21428571428571427,63,7,7,0.125,63,7,7,0.125
191,243,52,52,0.27225130890052357,229,38,38,0.19895287958115182,195,4,4,0.020942408376963352,215,24,24,0.1256544502617801,219,28,28,0.14659685863874344,211,20,20,0.10471204188481675,221,30,30,0.15706806282722513,206,15,15,0.07853403141361257,214,23,23,0.12041884816753927
199,193,-6,6,0.03015075376884422,191,-8,8,0.04020100502512563,187,-12,12,0.06030150753768844,202,3,3,0.01507537688442211,223,24,24,0.12060301507537688,225,26,26,0.1306532663316583,204,5,5,0.02512562814070352,221,22,22,0.11055276381909548,220,21,21,0.10552763819095477
208,211,3,3,0.014423076923076924,263,55,55,0.2644230769230769,237,29,29,0.13942307692307693,253,45,45,0.21634615384615385,234,26,26,0.125,259,51,51,0.24519230769230768,234,26,26,0.125,254,46,46,0.22115384615384615,258,50,50,0.2403846153846154
70,72,2,2,0.02857142857142857,83,13,13,0.18571428571428572,94,24,24,0.34285714285714286,77,7,7,0.1,69,-1,1,0.014285714285714285,80,10,10,0.14285714285714285,84,14,14,0.2,77,7,7,0.1,69,-1,1,0.014285714285714285
87,130,43,43,0.4942528735632184,88,1,1,0.011494252873563218,103,16,16,0.1839080459770115,85,-2,2,0.022988505747126436,113,26,26,0.2988505747126437,88,1,1,0.011494252873563218,88,1,1,0.011494252873563218,85,-2,2,0.022988505747126436,114,27,27,0.3103448275862069
137,154,17,17,0.12408759124087591,154,17,17,0.12408759124087591,141,4,4,0.029197080291970802,150,13,13,0.0948905109489051,154,17,17,0.12408759124087591,151,14,14,0.10218978102189781,149,12,12,0.08759124087591241,167,30,30,0.21897810218978103,175,38,38,0.2773722627737226
107,131,24,24,0.22429906542056074,117,10,10,0.09345794392523364,91,-16,16,0.14953271028037382,106,-1,1,0.009345794392523364,95,-12,12,0.11214953271028037,130,23,23,0.21495327102803738,107,0,0,0.0,116,9,9,0.08411214953271028,108,1,1,0.009345794392523364
46,61,15,15,0.32608695652173914,67,21,21,0.45652173913043476,67,21,21,0.45652173913043476,56,10,10,0.21739130434782608,55,9,9,0.1956521739130435,71,25,25,0.5434782608695652,71,25,25,0.5434782608695652,60,14,14,0.30434782608695654,62,16,16,0.34782608695652173
249,339,90,90,0.3614457831325301,290,41,41,0.1646586345381526,292,43,43,0.17269076305220885,270,21,21,0.08433734939759036,297,48,48,0.1927710843373494,275,26,26,0.10441767068273092,251,2,2,0.008032128514056224,285,36,36,0.14457831325301204,298,49,49,0.19678714859437751
72,86,14,14,0.19444444444444445,104,32,32,0.4444444444444444,98,26,26,0.3611111111111111,102,30,30,0.4166666666666667,98,26,26,0.3611111111111111,93,21,21,0.2916666666666667,97,25,25,0.3472222222222222,98,26,26,0.3611111111111111,95,23,23,0.3194444444444444
82,95,13,13,0.15853658536585366,97,15,15,0.18292682926829268,104,22,22,0.2682926829268293,105,23,23,0.2804878048780488,92,10,10,0.12195121951219512,104,22,22,0.2682926829268293,86,4,4,0.04878048780487805,107,25,25,0.3048780487804878,93,11,11,0.13414634146341464
29,32,3,3,0.10344827586206896,26,-3,3,0.10344827586206896,32,3,3,0.10344827586206896,32,3,3,0.10344827586206896,32,3,3,0.10344827586206896,26,-3,3,0.10344827586206896,42,13,13,0.4482758620689655,32,3,3,0.10344827586206896,38,9,9,0.3103448275862069
135,162,27,27,0.2,181,46,46,0.34074074074074073,150,15,15,0.1111111111111111,171,36,36,0.26666666666666666,147,12,12,0.08888888888888889,144,9,9,0.06666666666666667,157,22,22,0.16296296296296298,172,37,37,0.2740740740740741,155,20,20,0.14814814814814814
70,95,25,25,0.35714285714285715,81,11,11,0.15714285714285714,81,11,11,0.15714285714285714,72,2,2,0.02857142857142857,72,2,2,0.02857142857142857,85,15,15,0.21428571428571427,79,9,9,0.12857142857142856,72,2,2,0.02857142857142857,75,5,5,0.07142857142857142
166,197,31,31,0.18674698795180722,218,52,52,0.3132530120481928,204,38,38,0.2289156626506024,215,49,49,0.29518072289156627,190,24,24,0.14457831325301204,194,28,28,0.1686746987951807,217,51,51,0.3072289156626506,208,42,42,0.25301204819277107,190,24,24,0.14457831325301204
30,57,27,27,0.9,34,4,4,0.13333333333333333,41,11,11,0.36666666666666664,43,13,13,0.43333333333333335,40,10,10,0.3333333333333333,34,4,4,0.13333333333333333,34,4,4,0.13333333333333333,39,9,9,0.3,36,6,6,0.2
63,106,43,43,0.6825396825396826,83,20,20,0.31746031746031744,78,15,15,0.23809523809523808,60,-3,3,0.047619047619047616,60,-3,3,0.047619047619047616,66,3,3,0.047619047619047616,58,-5,5,0.07936507936507936,66,3,3,0.047619047619047616,69,6,6,0.09523809523809523
108,85,-23,23,0.21296296296296297,109,1,1,0.009259259259259259,108,0,0,0.0,122,14,14,0.12962962962962962,129,21,21,0.19444444444444445,110,2,2,0.018518518518518517,110,2,2,0.018518518518518517,116,8,8,0.07407407407407407,116,8,8,0.07407407407407407
99,99,0,0,0.0,116,17,17,0.1717171717171717,94,-5,5,0.050505050505050504,114,15,15,0.15151515151515152,99,0,0,0.0,101,2,2,0.020202020202020204,94,-5,5,0.050505050505050504,109,10,10,0.10101010101010101,99,0,0,0.0
92,92,0,0,0.0,108,16,16,0.17391304347826086,115,23,23,0.25,97,5,5,0.05434782608695652,100,8,8,0.08695652173913043,98,6,6,0.06521739130434782,100,8,8,0.08695652173913043,91,-1,1,0.010869565217391304,96,4,4,0.043478260869565216
