len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_perbmt1,diff_perbmt1,absdiff_perbmt1,nabsdiff_perbmt1,        len_perbmt2,diff_perbmt2,absdiff_perbmt2,nabsdiff_perbmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_rbmt1,diff_rbmt1,absdiff_rbmt1,nabsdiff_rbmt1,        len_rbmt2,diff_rbmt2,absdiff_rbmt2,nabsdiff_rbmt2        
76,123,47,47,0.618421052631579,76,0,0,0.0,86,10,10,0.13157894736842105,84,8,8,0.10526315789473684,83,7,7,0.09210526315789473,73,-3,3,0.039473684210526314,94,18,18,0.23684210526315788,87,11,11,0.14473684210526316,86,10,10,0.13157894736842105
238,237,-1,1,0.004201680672268907,240,2,2,0.008403361344537815,238,0,0,0.0,224,-14,14,0.058823529411764705,252,14,14,0.058823529411764705,235,-3,3,0.012605042016806723,259,21,21,0.08823529411764706,234,-4,4,0.01680672268907563,273,35,35,0.14705882352941177
249,257,8,8,0.0321285140562249,278,29,29,0.11646586345381527,244,-5,5,0.020080321285140562,239,-10,10,0.040160642570281124,252,3,3,0.012048192771084338,251,2,2,0.008032128514056224,243,-6,6,0.024096385542168676,255,6,6,0.024096385542168676,252,3,3,0.012048192771084338
216,210,-6,6,0.027777777777777776,242,26,26,0.12037037037037036,253,37,37,0.1712962962962963,243,27,27,0.125,230,14,14,0.06481481481481481,193,-23,23,0.10648148148148148,195,-21,21,0.09722222222222222,240,24,24,0.1111111111111111,261,45,45,0.20833333333333334
108,117,9,9,0.08333333333333333,105,-3,3,0.027777777777777776,110,2,2,0.018518518518518517,114,6,6,0.05555555555555555,118,10,10,0.09259259259259259,105,-3,3,0.027777777777777776,111,3,3,0.027777777777777776,104,-4,4,0.037037037037037035,106,-2,2,0.018518518518518517
22,30,8,8,0.36363636363636365,25,3,3,0.13636363636363635,25,3,3,0.13636363636363635,25,3,3,0.13636363636363635,24,2,2,0.09090909090909091,27,5,5,0.22727272727272727,27,5,5,0.22727272727272727,23,1,1,0.045454545454545456,37,15,15,0.6818181818181818
26,23,-3,3,0.11538461538461539,19,-7,7,0.2692307692307692,19,-7,7,0.2692307692307692,19,-7,7,0.2692307692307692,23,-3,3,0.11538461538461539,23,-3,3,0.11538461538461539,23,-3,3,0.11538461538461539,23,-3,3,0.11538461538461539,23,-3,3,0.11538461538461539
31,18,-13,13,0.41935483870967744,43,12,12,0.3870967741935484,43,12,12,0.3870967741935484,43,12,12,0.3870967741935484,43,12,12,0.3870967741935484,47,16,16,0.5161290322580645,51,20,20,0.6451612903225806,46,15,15,0.4838709677419355,51,20,20,0.6451612903225806
148,150,2,2,0.013513513513513514,139,-9,9,0.060810810810810814,147,-1,1,0.006756756756756757,143,-5,5,0.033783783783783786,147,-1,1,0.006756756756756757,146,-2,2,0.013513513513513514,171,23,23,0.1554054054054054,154,6,6,0.04054054054054054,158,10,10,0.06756756756756757
75,95,20,20,0.26666666666666666,80,5,5,0.06666666666666667,80,5,5,0.06666666666666667,73,-2,2,0.02666666666666667,75,0,0,0.0,80,5,5,0.06666666666666667,89,14,14,0.18666666666666668,73,-2,2,0.02666666666666667,77,2,2,0.02666666666666667
45,43,-2,2,0.044444444444444446,43,-2,2,0.044444444444444446,45,0,0,0.0,45,0,0,0.0,53,8,8,0.17777777777777778,44,-1,1,0.022222222222222223,49,4,4,0.08888888888888889,49,4,4,0.08888888888888889,59,14,14,0.3111111111111111
100,106,6,6,0.06,114,14,14,0.14,117,17,17,0.17,104,4,4,0.04,118,18,18,0.18,114,14,14,0.14,96,-4,4,0.04,109,9,9,0.09,105,5,5,0.05
41,46,5,5,0.12195121951219512,51,10,10,0.24390243902439024,51,10,10,0.24390243902439024,51,10,10,0.24390243902439024,55,14,14,0.34146341463414637,58,17,17,0.4146341463414634,58,17,17,0.4146341463414634,58,17,17,0.4146341463414634,57,16,16,0.3902439024390244
263,243,-20,20,0.07604562737642585,285,22,22,0.08365019011406843,305,42,42,0.1596958174904943,250,-13,13,0.049429657794676805,264,1,1,0.0038022813688212928,267,4,4,0.015209125475285171,309,46,46,0.17490494296577946,246,-17,17,0.06463878326996197,268,5,5,0.019011406844106463
186,193,7,7,0.03763440860215054,183,-3,3,0.016129032258064516,173,-13,13,0.06989247311827956,158,-28,28,0.15053763440860216,170,-16,16,0.08602150537634409,222,36,36,0.1935483870967742,196,10,10,0.053763440860215055,179,-7,7,0.03763440860215054,215,29,29,0.15591397849462366
193,211,18,18,0.09326424870466321,198,5,5,0.025906735751295335,231,38,38,0.19689119170984457,228,35,35,0.18134715025906736,246,53,53,0.27461139896373055,177,-16,16,0.08290155440414508,191,-2,2,0.010362694300518135,224,31,31,0.16062176165803108,238,45,45,0.23316062176165803
68,72,4,4,0.058823529411764705,72,4,4,0.058823529411764705,76,8,8,0.11764705882352941,74,6,6,0.08823529411764706,71,3,3,0.04411764705882353,64,-4,4,0.058823529411764705,79,11,11,0.16176470588235295,74,6,6,0.08823529411764706,71,3,3,0.04411764705882353
92,127,35,35,0.3804347826086957,126,34,34,0.3695652173913043,131,39,39,0.42391304347826086,131,39,39,0.42391304347826086,135,43,43,0.4673913043478261,109,17,17,0.18478260869565216,113,21,21,0.22826086956521738,127,35,35,0.3804347826086957,125,33,33,0.358695652173913
98,92,-6,6,0.061224489795918366,108,10,10,0.10204081632653061,114,16,16,0.16326530612244897,107,9,9,0.09183673469387756,109,11,11,0.11224489795918367,102,4,4,0.04081632653061224,104,6,6,0.061224489795918366,104,6,6,0.061224489795918366,131,33,33,0.336734693877551
205,211,6,6,0.02926829268292683,235,30,30,0.14634146341463414,237,32,32,0.15609756097560976,220,15,15,0.07317073170731707,227,22,22,0.1073170731707317,218,13,13,0.06341463414634146,214,9,9,0.04390243902439024,224,19,19,0.09268292682926829,226,21,21,0.1024390243902439
137,150,13,13,0.0948905109489051,141,4,4,0.029197080291970802,135,-2,2,0.014598540145985401,126,-11,11,0.08029197080291971,145,8,8,0.058394160583941604,144,7,7,0.051094890510948905,143,6,6,0.043795620437956206,132,-5,5,0.0364963503649635,141,4,4,0.029197080291970802
115,129,14,14,0.12173913043478261,113,-2,2,0.017391304347826087,108,-7,7,0.06086956521739131,120,5,5,0.043478260869565216,126,11,11,0.09565217391304348,110,-5,5,0.043478260869565216,119,4,4,0.034782608695652174,131,16,16,0.1391304347826087,138,23,23,0.2
63,69,6,6,0.09523809523809523,66,3,3,0.047619047619047616,66,3,3,0.047619047619047616,65,2,2,0.031746031746031744,70,7,7,0.1111111111111111,58,-5,5,0.07936507936507936,86,23,23,0.36507936507936506,70,7,7,0.1111111111111111,82,19,19,0.30158730158730157
136,160,24,24,0.17647058823529413,143,7,7,0.051470588235294115,166,30,30,0.22058823529411764,138,2,2,0.014705882352941176,136,0,0,0.0,146,10,10,0.07352941176470588,168,32,32,0.23529411764705882,142,6,6,0.04411764705882353,141,5,5,0.03676470588235294
189,203,14,14,0.07407407407407407,241,52,52,0.2751322751322751,219,30,30,0.15873015873015872,202,13,13,0.06878306878306878,205,16,16,0.08465608465608465,221,32,32,0.1693121693121693,194,5,5,0.026455026455026454,211,22,22,0.1164021164021164,210,21,21,0.1111111111111111
134,214,80,80,0.5970149253731343,144,10,10,0.07462686567164178,163,29,29,0.21641791044776118,152,18,18,0.13432835820895522,161,27,27,0.20149253731343283,125,-9,9,0.06716417910447761,137,3,3,0.022388059701492536,151,17,17,0.12686567164179105,190,56,56,0.417910447761194
123,149,26,26,0.21138211382113822,133,10,10,0.08130081300813008,138,15,15,0.12195121951219512,131,8,8,0.06504065040650407,126,3,3,0.024390243902439025,129,6,6,0.04878048780487805,125,2,2,0.016260162601626018,136,13,13,0.10569105691056911,141,18,18,0.14634146341463414
129,135,6,6,0.046511627906976744,139,10,10,0.07751937984496124,127,-2,2,0.015503875968992248,137,8,8,0.06201550387596899,141,12,12,0.09302325581395349,107,-22,22,0.17054263565891473,103,-26,26,0.20155038759689922,129,0,0,0.0,139,10,10,0.07751937984496124
84,104,20,20,0.23809523809523808,103,19,19,0.2261904761904762,97,13,13,0.15476190476190477,92,8,8,0.09523809523809523,93,9,9,0.10714285714285714,89,5,5,0.05952380952380952,88,4,4,0.047619047619047616,92,8,8,0.09523809523809523,116,32,32,0.38095238095238093
216,194,-22,22,0.10185185185185185,199,-17,17,0.0787037037037037,198,-18,18,0.08333333333333333,197,-19,19,0.08796296296296297,197,-19,19,0.08796296296296297,190,-26,26,0.12037037037037036,186,-30,30,0.1388888888888889,204,-12,12,0.05555555555555555,210,-6,6,0.027777777777777776
131,160,29,29,0.22137404580152673,165,34,34,0.2595419847328244,156,25,25,0.19083969465648856,150,19,19,0.1450381679389313,150,19,19,0.1450381679389313,154,23,23,0.17557251908396945,171,40,40,0.3053435114503817,152,21,21,0.16030534351145037,171,40,40,0.3053435114503817
