Order	File	SL	TL	PPL_SL	PPL_TL	PPL_DIFF
6	ted.en-de.ht.de.norm.de.tag.forlm	en	de	10.98609	5.97154	5.01455
6	ted.en-de.nmt1.de.norm.de.tag.forlm	en	de	10.79135	5.97414	4.81721
6	ted.en-de.nmt2.de.norm.de.tag.forlm	en	de	10.27173	5.843299	4.428431
6	ted.en-de.nmt3.de.norm.de.tag.forlm	en	de	11.08947	6.459721	4.629749
6	ted.en-de.nmt4.de.norm.de.tag.forlm	en	de	11.30294	6.300632	5.002308
6	ted.en-de.penmt1.de.norm.de.tag.forlm	en	de	10.8169	5.959157	4.857743
6	ted.en-de.penmt2.de.norm.de.tag.forlm	en	de	10.64484	5.867828	4.777012
6	ted.en-de.penmt3.de.norm.de.tag.forlm	en	de	10.77771	5.939464	4.838246
6	ted.en-de.penmt4.de.norm.de.tag.forlm	en	de	10.81659	5.915579	4.901011
6	ted.en-de.pesmt1.de.norm.de.tag.forlm	en	de	10.31278	5.911372	4.401408
6	ted.en-de.pesmt2.de.norm.de.tag.forlm	en	de	10.40737	5.954229	4.453141
6	ted.en-de.pesmt3.de.norm.de.tag.forlm	en	de	10.5628	5.964858	4.597942
6	ted.en-de.pesmt4.de.norm.de.tag.forlm	en	de	10.72446	5.944174	4.780286
6	ted.en-de.smt1.de.norm.de.tag.forlm	en	de	9.480775	6.301537	3.179238
6	ted.en-de.smt2.de.norm.de.tag.forlm	en	de	9.368485	6.340064	3.028421
6	ted.en-de.smt3.de.norm.de.tag.forlm	en	de	9.508363	6.313622	3.194741
6	ted.en-de.smt4.de.norm.de.tag.forlm	en	de	10.39616	6.044518	4.351642
8	ted.en-de.ht.de.norm.de.tag.forlm	en	de	12.28298	6.141931	6.141049
8	ted.en-de.nmt1.de.norm.de.tag.forlm	en	de	12.04725	6.154884	5.892366
8	ted.en-de.nmt2.de.norm.de.tag.forlm	en	de	11.46326	5.977548	5.485712
8	ted.en-de.nmt3.de.norm.de.tag.forlm	en	de	12.41478	6.783536	5.631244
8	ted.en-de.nmt4.de.norm.de.tag.forlm	en	de	12.66514	6.544499	6.120641
8	ted.en-de.penmt1.de.norm.de.tag.forlm	en	de	12.1117	6.118981	5.992719
8	ted.en-de.penmt2.de.norm.de.tag.forlm	en	de	11.87569	6.009041	5.866649
8	ted.en-de.penmt3.de.norm.de.tag.forlm	en	de	12.06596	6.109447	5.956513
8	ted.en-de.penmt4.de.norm.de.tag.forlm	en	de	12.03394	6.066339	5.967601
8	ted.en-de.pesmt1.de.norm.de.tag.forlm	en	de	11.49375	6.108282	5.385468
8	ted.en-de.pesmt2.de.norm.de.tag.forlm	en	de	11.54333	6.124063	5.419267
8	ted.en-de.pesmt3.de.norm.de.tag.forlm	en	de	11.76636	6.149024	5.617336
8	ted.en-de.pesmt4.de.norm.de.tag.forlm	en	de	11.92847	6.113495	5.814975
8	ted.en-de.smt1.de.norm.de.tag.forlm	en	de	10.53179	6.671655	3.860135
8	ted.en-de.smt2.de.norm.de.tag.forlm	en	de	10.38715	6.70565	3.68150
8	ted.en-de.smt3.de.norm.de.tag.forlm	en	de	10.56584	6.685891	3.879949
8	ted.en-de.smt4.de.norm.de.tag.forlm	en	de	11.62728	6.268912	5.358368
