Order	File	SL	TL	PPL_SL	PPL_TL	PPL_DIFF
6	ted.en-fr.ht.fr.norm.fr.tag.forlm	en	fr	7.339977	4.866934	2.473043
6	ted.en-fr.nmt1.fr.norm.fr.tag.forlm	en	fr	7.308774	4.909798	2.398976
6	ted.en-fr.nmt2.fr.norm.fr.tag.forlm	en	fr	7.505331	5.086062	2.419269
6	ted.en-fr.penmt1.fr.norm.fr.tag.forlm	en	fr	7.288071	4.873407	2.414664
6	ted.en-fr.penmt2.fr.norm.fr.tag.forlm	en	fr	7.334443	4.872327	2.462116
6	ted.en-fr.pesmt1.fr.norm.fr.tag.forlm	en	fr	7.357808	4.958183	2.399625
6	ted.en-fr.pesmt2.fr.norm.fr.tag.forlm	en	fr	7.378941	4.939589	2.439352
6	ted.en-fr.pesmt3.fr.norm.fr.tag.forlm	en	fr	7.449245	5.051377	2.397868
6	ted.en-fr.smt1.fr.norm.fr.tag.forlm	en	fr	7.623354	5.476925	2.146429
6	ted.en-fr.smt2.fr.norm.fr.tag.forlm	en	fr	7.351249	5.166308	2.184941
6	ted.en-fr.smt3.fr.norm.fr.tag.forlm	en	fr	7.525955	5.678834	1.847121
8	ted.en-fr.ht.fr.norm.fr.tag.forlm	en	fr	7.893692	4.966698	2.926994
8	ted.en-fr.nmt1.fr.norm.fr.tag.forlm	en	fr	7.835838	5.010241	2.825597
8	ted.en-fr.nmt2.fr.norm.fr.tag.forlm	en	fr	8.127634	5.208568	2.919066
8	ted.en-fr.penmt1.fr.norm.fr.tag.forlm	en	fr	7.822732	4.966078	2.856654
8	ted.en-fr.penmt2.fr.norm.fr.tag.forlm	en	fr	7.908765	4.952179	2.956586
8	ted.en-fr.pesmt1.fr.norm.fr.tag.forlm	en	fr	7.914888	5.071139	2.843749
8	ted.en-fr.pesmt2.fr.norm.fr.tag.forlm	en	fr	7.958883	5.031548	2.927335
8	ted.en-fr.pesmt3.fr.norm.fr.tag.forlm	en	fr	8.034315	5.185155	2.849160
8	ted.en-fr.smt1.fr.norm.fr.tag.forlm	en	fr	8.217354	5.687439	2.529915
8	ted.en-fr.smt2.fr.norm.fr.tag.forlm	en	fr	7.904015	5.322647	2.581368
8	ted.en-fr.smt3.fr.norm.fr.tag.forlm	en	fr	8.116849	5.926765	2.190084
