Order	File	SL	TL	PPL_SL	PPL_TL	PPL_DIFF
6	ms.zh-en.a.en.norm.en.tag.forlm	zh	en	22.25501	6.012777	16.242233
6	ms.zh-en.c6.en.norm.en.tag.forlm	zh	en	23.06065	5.752063	17.308587
6	ms.zh-en.ht.en.norm.en.tag.forlm	zh	en	23.68742	5.924693	17.762727
6	ms.zh-en.pe.en.norm.en.tag.forlm	zh	en	23.31801	5.986948	17.331062
6	ms.zh-en.src.zh.norm.zh.tag.forlm	zh	en	5.460777	14.97008	-9.509303
6	orig.ms.zh-en.a.en.norm.en.tag.forlm	zh	en	21.44512	6.197365	15.247755
6	orig.ms.zh-en.c6.en.norm.en.tag.forlm	zh	en	22.49695	5.80604	16.69091
6	orig.ms.zh-en.ht.en.norm.en.tag.forlm	zh	en	23.25736	6.032072	17.225288
6	orig.ms.zh-en.pe.en.norm.en.tag.forlm	zh	en	22.7909	6.127237	16.663663
6	orig.ms.zh-en.src.zh.norm.zh.tag.forlm	zh	en	5.271055	14.1748	-8.903745
6	trlt.ms.zh-en.a.en.norm.en.tag.forlm	zh	en	23.35742	5.780289	17.577131
6	trlt.ms.zh-en.c6.en.norm.en.tag.forlm	zh	en	23.87046	5.677618	18.192842
6	trlt.ms.zh-en.ht.en.norm.en.tag.forlm	zh	en	24.2793	5.783058	18.496242
6	trlt.ms.zh-en.pe.en.norm.en.tag.forlm	zh	en	24.04572	5.803447	18.242273
6	trlt.ms.zh-en.src.zh.norm.zh.tag.forlm	zh	en	5.694448	15.9704	-10.275952
8	ms.zh-en.a.en.norm.en.tag.forlm	zh	en	24.76659	6.274185	18.492405
8	ms.zh-en.c6.en.norm.en.tag.forlm	zh	en	25.66003	5.948691	19.711339
8	ms.zh-en.ht.en.norm.en.tag.forlm	zh	en	26.4066	6.140116	20.266484
8	ms.zh-en.pe.en.norm.en.tag.forlm	zh	en	25.94783	6.252516	19.695314
8	ms.zh-en.src.zh.norm.zh.tag.forlm	zh	en	5.605696	17.1639	-11.558204
8	orig.ms.zh-en.a.en.norm.en.tag.forlm	zh	en	23.97393	6.534092	17.439838
8	orig.ms.zh-en.c6.en.norm.en.tag.forlm	zh	en	25.17658	6.031628	19.144952
8	orig.ms.zh-en.ht.en.norm.en.tag.forlm	zh	en	26.18389	6.263845	19.920045
8	orig.ms.zh-en.pe.en.norm.en.tag.forlm	zh	en	25.56804	6.44158	19.12646
8	orig.ms.zh-en.src.zh.norm.zh.tag.forlm	zh	en	5.389987	16.15699	-10.767003
8	trlt.ms.zh-en.a.en.norm.en.tag.forlm	zh	en	25.8399	5.950706	19.889194
8	trlt.ms.zh-en.c6.en.norm.en.tag.forlm	zh	en	26.3498	5.834919	20.514881
8	trlt.ms.zh-en.ht.en.norm.en.tag.forlm	zh	en	26.70958	5.977295	20.732285
8	trlt.ms.zh-en.pe.en.norm.en.tag.forlm	zh	en	26.46718	6.007127	20.460053
8	trlt.ms.zh-en.src.zh.norm.zh.tag.forlm	zh	en	5.872504	18.43858	-12.566076
