Order	File	SL	TL	PPL_SL	PPL_TL	PPL_DIFF
6	wmt.rbmt1.edit.de-en.norm.en.tag.forlm	de	en	10.28362	5.97878	4.30484
6	wmt.rbmt1.hyp.de-en.norm.en.tag.forlm	de	en	10.03903	6.567974	3.471056
6	wmt.rbmt2.edit.de-en.norm.en.tag.forlm	de	en	10.27491	5.972484	4.302426
6	wmt.rbmt2.hyp.de-en.norm.en.tag.forlm	de	en	9.594711	6.638324	2.956387
6	wmt.ref.de-en.norm.en.tag.forlm	de	en	11.00254	5.882028	5.120512
6	wmt.smt1.edit.de-en.norm.en.tag.forlm	de	en	10.46066	5.863697	4.596963
6	wmt.smt1.hyp.de-en.norm.en.tag.forlm	de	en	10.38296	6.693566	3.689394
6	wmt.smt2.edit.de-en.norm.en.tag.forlm	de	en	10.27087	5.827415	4.443455
6	wmt.smt2.hyp.de-en.norm.en.tag.forlm	de	en	10.47354	7.001121	3.472419
6	wmt.src.de-en.norm.de.tag.forlm	de	en	5.455206	10.19657	-4.741364
8	wmt.rbmt1.edit.de-en.norm.en.tag.forlm	de	en	11.304	6.27496	5.02904
8	wmt.rbmt1.hyp.de-en.norm.en.tag.forlm	de	en	11.05275	7.047338	4.005412
8	wmt.rbmt2.edit.de-en.norm.en.tag.forlm	de	en	11.20455	6.269039	4.935511
8	wmt.rbmt2.hyp.de-en.norm.en.tag.forlm	de	en	10.57496	7.118553	3.456407
8	wmt.ref.de-en.norm.en.tag.forlm	de	en	12.1411	6.160319	5.980781
8	wmt.smt1.edit.de-en.norm.en.tag.forlm	de	en	11.3853	6.161184	5.224116
8	wmt.smt1.hyp.de-en.norm.en.tag.forlm	de	en	11.42	7.214694	4.205306
8	wmt.smt2.edit.de-en.norm.en.tag.forlm	de	en	11.22669	6.054354	5.172336
8	wmt.smt2.hyp.de-en.norm.en.tag.forlm	de	en	11.58754	7.666913	3.920627
8	wmt.src.de-en.norm.de.tag.forlm	de	en	5.531844	11.42288	-5.891036
