Order	File	SL	TL	PPL_SL	PPL_TL	PPL_DIFF
6	wmt.rbmt1.edit.de-es.norm.es.tag.forlm	de	es	9.483431	5.324979	4.158452
6	wmt.rbmt1.hyp.de-es.norm.es.tag.forlm	de	es	10.64569	6.552835	4.092855
6	wmt.rbmt2.edit.de-es.norm.es.tag.forlm	de	es	9.599559	5.453888	4.145671
6	wmt.rbmt2.hyp.de-es.norm.es.tag.forlm	de	es	10.20563	8.060258	2.145372
6	wmt.ref.de-es.norm.es.tag.forlm	de	es	9.062072	5.135407	3.926665
6	wmt.smt1.edit.de-es.norm.es.tag.forlm	de	es	9.468943	5.440473	4.028470
6	wmt.smt1.hyp.de-es.norm.es.tag.forlm	de	es	9.311464	6.574293	2.737171
6	wmt.smt2.edit.de-es.norm.es.tag.forlm	de	es	9.79431	5.301313	4.492997
6	wmt.smt2.hyp.de-es.norm.es.tag.forlm	de	es	9.660434	6.549313	3.111121
6	wmt.src.de-es.norm.de.tag.forlm	de	es	5.602171	13.43288	-7.830709
8	wmt.rbmt1.edit.de-es.norm.es.tag.forlm	de	es	10.41349	5.493175	4.920315
8	wmt.rbmt1.hyp.de-es.norm.es.tag.forlm	de	es	11.64464	6.88767	4.75697
8	wmt.rbmt2.edit.de-es.norm.es.tag.forlm	de	es	10.40448	5.653106	4.751374
8	wmt.rbmt2.hyp.de-es.norm.es.tag.forlm	de	es	11.31331	8.877677	2.435633
8	wmt.ref.de-es.norm.es.tag.forlm	de	es	9.745316	5.237915	4.507401
8	wmt.smt1.edit.de-es.norm.es.tag.forlm	de	es	10.46274	5.579964	4.882776
8	wmt.smt1.hyp.de-es.norm.es.tag.forlm	de	es	10.25603	6.936952	3.319078
8	wmt.smt2.edit.de-es.norm.es.tag.forlm	de	es	10.54488	5.445705	5.099175
8	wmt.smt2.hyp.de-es.norm.es.tag.forlm	de	es	10.5769	7.059899	3.517001
8	wmt.src.de-es.norm.de.tag.forlm	de	es	5.72504	15.35004	-9.62500
