Order	File	SL	TL	PPL_SL	PPL_TL	PPL_DIFF
6	wmt.rbmt1.edit.en-de.norm.de.tag.forlm	en	de	9.981169	5.400316	4.580853
6	wmt.rbmt1.hyp.en-de.norm.de.tag.forlm	en	de	10.11146	6.148073	3.963387
6	wmt.rbmt2.edit.en-de.norm.de.tag.forlm	en	de	10.1027	5.441587	4.661113
6	wmt.rbmt2.hyp.en-de.norm.de.tag.forlm	en	de	9.866901	5.971881	3.895020
6	wmt.ref.en-de.norm.de.tag.forlm	en	de	10.74301	5.65369	5.08932
6	wmt.smt1.edit.en-de.norm.de.tag.forlm	en	de	9.862156	5.355993	4.506163
6	wmt.smt1.hyp.en-de.norm.de.tag.forlm	en	de	9.602768	6.602773	2.999995
6	wmt.smt2.edit.en-de.norm.de.tag.forlm	en	de	9.642302	5.330646	4.311656
6	wmt.smt2.hyp.en-de.norm.de.tag.forlm	en	de	10.01413	7.081483	2.932647
6	wmt.src.en-de.norm.en.tag.forlm	en	de	6.029924	10.94556	-4.915636
8	wmt.rbmt1.edit.en-de.norm.de.tag.forlm	en	de	11.31199	5.466882	5.845108
8	wmt.rbmt1.hyp.en-de.norm.de.tag.forlm	en	de	11.38886	6.433567	4.955293
8	wmt.rbmt2.edit.en-de.norm.de.tag.forlm	en	de	11.39426	5.531298	5.862962
8	wmt.rbmt2.hyp.en-de.norm.de.tag.forlm	en	de	11.09819	6.188093	4.910097
8	wmt.ref.en-de.norm.de.tag.forlm	en	de	12.22716	5.752102	6.475058
8	wmt.smt1.edit.en-de.norm.de.tag.forlm	en	de	11.03948	5.425234	5.614246
8	wmt.smt1.hyp.en-de.norm.de.tag.forlm	en	de	10.76485	7.013144	3.751706
8	wmt.smt2.edit.en-de.norm.de.tag.forlm	en	de	10.74369	5.448505	5.295185
8	wmt.smt2.hyp.en-de.norm.de.tag.forlm	en	de	11.32325	7.700474	3.622776
8	wmt.src.en-de.norm.en.tag.forlm	en	de	6.334161	12.01509	-5.680929
