Order	File	SL	TL	PPL_SL	PPL_TL	PPL_DIFF
6	wmt.rbmt1.edit.es-de.norm.de.tag.forlm	es	de	14.16021	5.45842	8.70179
6	wmt.rbmt1.hyp.es-de.norm.de.tag.forlm	es	de	14.37088	6.251501	8.119379
6	wmt.rbmt2.edit.es-de.norm.de.tag.forlm	es	de	14.46596	5.604518	8.861442
6	wmt.rbmt2.hyp.es-de.norm.de.tag.forlm	es	de	15.8505	7.996988	7.853512
6	wmt.ref.es-de.norm.de.tag.forlm	es	de	15.58206	6.171682	9.410378
6	wmt.smt1.edit.es-de.norm.de.tag.forlm	es	de	13.38127	5.339566	8.041704
6	wmt.smt1.hyp.es-de.norm.de.tag.forlm	es	de	12.46331	6.631844	5.831466
6	wmt.smt2.edit.es-de.norm.de.tag.forlm	es	de	14.12147	5.314674	8.806796
6	wmt.smt2.hyp.es-de.norm.de.tag.forlm	es	de	15.36857	7.328641	8.039929
6	wmt.src.es-de.norm.es.tag.forlm	es	de	5.545651	10.36941	-4.823759
8	wmt.rbmt1.edit.es-de.norm.de.tag.forlm	es	de	16.09165	5.620744	10.470906
8	wmt.rbmt1.hyp.es-de.norm.de.tag.forlm	es	de	16.18328	6.522048	9.661232
8	wmt.rbmt2.edit.es-de.norm.de.tag.forlm	es	de	16.32585	5.755574	10.570276
8	wmt.rbmt2.hyp.es-de.norm.de.tag.forlm	es	de	17.93911	8.504716	9.434394
8	wmt.ref.es-de.norm.de.tag.forlm	es	de	17.3655	6.285448	11.080052
8	wmt.smt1.edit.es-de.norm.de.tag.forlm	es	de	14.94062	5.444792	9.495828
8	wmt.smt1.hyp.es-de.norm.de.tag.forlm	es	de	13.81335	7.037232	6.776118
8	wmt.smt2.edit.es-de.norm.de.tag.forlm	es	de	15.90117	5.432311	10.468859
8	wmt.smt2.hyp.es-de.norm.de.tag.forlm	es	de	17.48841	7.994633	9.493777
8	wmt.src.es-de.norm.es.tag.forlm	es	de	5.727958	11.1398	-5.411842
